corridor,product,pathway,year,price_scenario,compliance_cost_eur_per_tonne,production_cost_eur_per_tonne,burden_share_pct,currency_converted,value_basis
halifax_hamburg,ammonia,cbam_default,2026,medium,11.71,446.8,2.62,False,production_cost
ningbo_felixstowe,ammonia,cbam_default,2026,medium,0.06,416.5,0.01,True,production_cost
halifax_hamburg,ammonia,cbam_default,2027,medium,17.25,446.8,3.86,False,production_cost
ningbo_felixstowe,ammonia,cbam_default,2027,medium,39.62,416.5,9.51,True,production_cost
halifax_hamburg,ammonia,cbam_default,2028,medium,26.83,446.8,6.0,False,production_cost
ningbo_felixstowe,ammonia,cbam_default,2028,medium,45.08,416.5,10.82,True,production_cost
halifax_hamburg,ammonia,cbam_default,2029,medium,44.1,446.8,9.87,False,production_cost
ningbo_felixstowe,ammonia,cbam_default,2029,medium,56.0,416.5,13.44,True,production_cost
halifax_hamburg,ammonia,cbam_default,2030,medium,68.02,446.8,15.22,False,production_cost
ningbo_felixstowe,ammonia,cbam_default,2030,medium,83.3,416.5,20.0,True,production_cost
halifax_hamburg,hydrogen,cbam_default,2026,medium,153.67,614.5,25.01,False,production_cost
ningbo_felixstowe,hydrogen,cbam_default,2026,medium,0.59,1180.7,0.05,True,production_cost
halifax_hamburg,hydrogen,cbam_default,2027,medium,248.11,614.5,40.38,False,production_cost
ningbo_felixstowe,hydrogen,cbam_default,2027,medium,242.27,1180.7,20.52,True,production_cost
halifax_hamburg,hydrogen,cbam_default,2028,medium,397.19,614.5,64.64,False,production_cost
ningbo_felixstowe,hydrogen,cbam_default,2028,medium,275.63,1180.7,23.34,True,production_cost
halifax_hamburg,hydrogen,cbam_default,2029,medium,540.5,614.5,87.96,False,production_cost
ningbo_felixstowe,hydrogen,cbam_default,2029,medium,342.36,1180.7,29.0,True,production_cost
halifax_hamburg,hydrogen,cbam_default,2030,medium,640.7,614.5,104.26,False,production_cost
ningbo_felixstowe,hydrogen,cbam_default,2030,medium,509.17,1180.7,43.12,True,production_cost
